index,ODDO1,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00
17721,-56.132121700000084,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17722,-55.543179399999985,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17723,-54.9542371,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17724,-54.365294800000015,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17725,-53.776352400000064,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17726,-53.18741010000008,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17727,-52.598467800000094,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17728,-52.009525499999995,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17729,-51.42058320000001,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17730,-50.831640900000025,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17731,-50.24269860000004,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351808,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17732,-49.653756300000055,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351088,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17733,-49.06481400000007,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351088,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7507248,7376224,7366016
17734,-48.475871700000084,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351088,7443712,7345648,7334144,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7360432,7507248,7376224,7366016
17735,-47.886929399999985,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351088,7443712,7345648,7334144,7498640,7473712,7474544,7425456,7367360,7564320,7528704,7378896,7360432,7507248,7376224,7366016
17736,-47.2979871,7532128,7362416,7328688,7484112,7574880,7376144,7379424,7390928,7351088,7443712,7345648,7334144,7498640,7473712,7474544,7425456,7367360,7564320,7528704,7378896,7360432,7507248,7376224,7366016
17737,-46.709044800000015,7532128,7362416,7328688,7484112,7574880,7376144,7378432,7390928,7351088,7443712,7345648,7334144,7498640,7473712,7474544,7425456,7367360,7564320,7528704,7378896,7360432,7507248,7376224,7366016
17738,-46.120102400000064,7532128,7362416,7328688,7484112,7574880,7376144,7378432,7390928,7351088,7443712,7345648,7334144,7498640,7473712,7474544,7425456,7367360,7564320,7528704,7378896,7360432,7507248,7376224,7366016
17739,-45.53116010000008,7532128,7362416,7328688,7484112,7574880,7376144,7378432,7390928,7351088,7443712,7345648,7334144,7498640,7473712,7474544,7425456,7367360,7564320,7526576,7378896,7360432,7507248,7376224,7366016
17740,-44.942217800000094,7532128,7362416,7328688,7484112,7574880,7376144,7378432,7390928,7351088,7443712,7345648,7334144,7498640,7473712,7474544,7425456,7367360,7564320,7526576,7378896,7360432,7507248,7376224,7366016
17741,-44.353275499999995,7528736,7362416,7328688,7484112,7574880,7376144,7378432,7390928,7351088,7443712,7345648,7334144,7498640,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7376224,7366016
17742,-43.76433320000001,7528736,7362416,7328688,7484112,7574880,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7498640,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7376224,7366016
17743,-43.175390900000025,7528736,7362416,7324912,7484112,7574880,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7498640,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7376224,7366016
17744,-42.58644860000004,7528736,7362416,7324912,7484112,7574880,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
17745,-42.014018700000065,7528736,7362416,7324912,7484112,7574880,7376144,7378432,7390928,7351088,7443712,7343840,7334144,7497680,7473712,7474544,7425456,7367056,7564320,7526576,7378896,7360432,7507248,7373712,7366016
